attribute,id,parent,notation,label,definition
Substance of oximorphic and reductimorphic features,SM,,SM,Schwertmannite,
Substances of ribbon-like accumulations,CC,,CC,Clay minerals,
Substances of ribbon-like accumulations,CH,,CH,Clay minerals and organic matter,
Substances of ribbon-like accumulations,CO,,CO,Clay minerals and Fe oxides and/or Mn oxides,
Substances of ribbon-like accumulations,HH,,HH,Organic matter,
Substances of ribbon-like accumulations,NO,,NO,No ribbon-like accumulations,
Substances of ribbon-like accumulations,OH,,OH,Fe oxides and/or Mn oxides and organic matter,
Substances of ribbon-like accumulations,OO,,OO,Fe oxides and/or Mn oxides,
Substances of ribbon-like accumulations,TO,,TO,"Clay minerals, Fe oxides and/or Mn oxides and organic matter",
Surface cracks,FI,,FI,Fine,> 1 - 2
Surface cracks,ME,,ME,Medium,> 2 - 5
Surface cracks,NO,,NO,No surface cracks,
Surface cracks,VF,,VF,Very fine,≤ 1
Surface cracks,VW,,VW,Very wide,> 10
Surface cracks,WI,,WI,Wide,> 5 - 10
Surface unevenness caused by erosion,AO,,AO,Other types of wind erosion,
Surface unevenness caused by erosion,AS,,AS,Shifting sands,
Surface unevenness caused by erosion,MM,,MM,Mass movement (landslides and similar phenomena),
Surface unevenness caused by erosion,NC,,NC,"Erosion, not categorized",
Surface unevenness caused by erosion,NO,,NO,No evidence of erosion,
Surface unevenness caused by erosion,WA,,WA,Water and aeolian (wind) erosion,
Surface unevenness caused by erosion,WG,,WG,Gully erosion,
Surface unevenness caused by erosion,WR,,WR,Rill erosion,
Surface unevenness caused by erosion,WS,,WS,Sheet erosion,
Surface unevenness caused by erosion,WT,,WT,Tunnel erosion,
Susceptibility for cementation,CW,,CW,Cementation after repeated drying and wetting,
Susceptibility for cementation,NO,,NO,No cementation after repeated drying and wetting,
Technical surface alterations,LV,,LV,Levelling,
Technical surface alterations,NO,,NO,None,
Technical surface alterations,OT,,OT,Other,
Technical surface alterations,SA,,SA,Sealing by asphalt,
Technical surface alterations,SC,,SC,Sealing by concrete,
Technical surface alterations,SO,,SO,Other types of sealing,
Technical surface alterations,TR,,TR,Topsoil removal,
Texture classes,C,,C,Clay,
Texture classes,C,,C,Clay,
Texture classes,CL,,CL,Clay loam,
Texture classes,CL,,CL,Clay loam,
Texture classes,L,,L,Loam,
Texture classes,L,,L,Loam,
Texture classes,LCS,,LCS,Loamy coarse sand,
Texture classes,LCS,,LCS,Loamy sand,Loamy coarse sand
Texture classes,LFS,,LFS,Loamy fine sand,
Texture classes,LFS,,LFS,Loamy sand,Loamy fine sand
Texture classes,LMS,,LMS,Loamy medium sand,
Texture classes,LMS,,LMS,Loamy sand,Loamy medium sand
Texture classes,LS,,LS,Loamy sand,
Texture classes,LS,,LS,Loamy sand,
Texture classes,LVFS,,LVFS,Loamy sand,Loamy very fine sand
Texture classes,LVFS,,LVFS,Loamy very fine sand,
Texture classes,S,,S,Sand,
Texture classes,S,,S,Sand,
Texture classes,SC,,SC,Sandy clay,
Texture classes,SC,,SC,Sandy clay,
Texture classes,SCL,,SCL,Sandy clay loam,
Texture classes,SCL,,SCL,Sandy clay loam,
Texture classes,Si,,Si,Silt,
Texture classes,Si,,Si,Silt,
Texture classes,SiC,,SiC,Silty clay,
Texture classes,SiC,,SiC,Silty clay,
Texture classes,SiCL,,SiCL,Silty clay loam,
Texture classes,SiCL,,SiCL,Silty clay loam,
Texture classes,SiL,,SiL,Silt loam,
Texture classes,SiL,,SiL,Silt loam,
Texture classes,SL,,SL,Sandy loam,
Texture classes,SL,,SL,Sandy loam,
Thixotropy and NaF field test,NF,,NF,Positive NaF test,
Thixotropy and NaF field test,NO,,NO,None of the above,
Thixotropy and NaF field test,NT,,NT,Positive NaF test and thixotropy,
Thixotropy and NaF field test,TH,,TH,Thixotropy,
Types of accumulation of organic matter,BC,,BC,"Black carbon (e.g. charcoal, partly charred particles, soot))",
Types of accumulation of organic matter,BU,,BU,Filled earthworm burrows,
Types of accumulation of organic matter,CO,,CO,Organic matter coatings at surfaces of soil aggregates and biopore walls (no visible other material in the coatings),
Types of accumulation of organic matter,KR,,KR,Filled krotowinas,
Types of accumulation of organic matter,NO,,NO,No visible accumulation of organic matter,
Types of animal activity,BA,,BA,"Bird act. - Bones, feathers, sorted gravel of similar size",
Types of animal activity,BU,,BU,Burrows (unspecified),
Types of animal activity,IA,,IA,Ant channels and nests,
Types of animal activity,IO,,IO,Other insect activity,
Types of animal activity,IT,,IT,Termite channels and nests,
Types of animal activity,MI,,MI,Mammal infilled large burrows (krotovinas),
Types of animal activity,MO,,MO,Mammal open large burrows,
Types of animal activity,NO,,NO,No visible results of animal activity,
Types of animal activity,WC,,WC,Worm activity - Worm casts,
Types of animal activity,WE,,WE,Worm activity - Earthworm channels,
Types of manner of failure (brittleness),BR,,BR,Brittle,
Types of manner of failure (brittleness),DF,,DF,Deformable,
Types of manner of failure (brittleness),SD,,SD,Semi-deformable,
Types of non-matrix pores,DT,,DT,Dendritic Tubular,
Types of non-matrix pores,IG,,IG,Irregular,
Types of non-matrix pores,NO,,NO,No non-matrix pores,
Types of non-matrix pores,TU,,TU,Tubular,
Types of non-matrix pores,VE,,VE,Vesicular,
Types of parent material,IF,,IF,Felsic igneous,
Types of parent material,IF1,,IF1,Granite,
Types of parent material,IF2,,IF2,Quartz-diorite,
Types of parent material,IF3,,IF3,Grano-diorite,
Types of parent material,IF4,,IF4,Diorite,
Types of parent material,IF5,,IF5,Rhyolite,
Types of parent material,II,,II,Intermediate igneous,
Types of parent material,II1,,II1,"Andesite, trachyte, phonolite",
Types of parent material,II2,,II2,Diorite-syenite,
Types of parent material,IM,,IM,Mafic igneous,
Types of parent material,IM1,,IM1,Gabbro,
Types of parent material,IM2,,IM2,Basalt,
Types of parent material,IM3,,IM3,Dolerite,
Types of parent material,IP,,IP,Pyroclastic,
Types of parent material,IP1,,IP1,"Tuff, tuffite",
Types of parent material,IP2,,IP2,Volcanic scoria/breccia,
Types of parent material,IP3,,IP3,Volcanic ash,
Types of parent material,IP4,,IP4,Ignimbrite,
Types of parent material,IU,,IU,Ultramafic igneous,
Types of parent material,IU1,,IU1,Peridotite,
Types of parent material,IU2,,IU2,Pyroxenite,
Types of parent material,IU3,,IU3,Serpentinite,
Types of parent material,MF,,MF,Felsic metamorphic,
Types of parent material,MF1,,MF1,Quartzite,
Types of parent material,MF2,,MF2,"Gneiss, migmatite",
Types of parent material,MF3,,MF3,"Slate, phyllite (pelitic rocks)",
Types of parent material,MF4,,MF4,Schist,
Types of parent material,MM,,MM,Mafic metamorphic,
Types of parent material,MM1,,MM1,"Slate, phyllite (pelitic rocks)",
Types of parent material,MM2,,MM2,(Green)schist,
Types of parent material,MM3,,MM3,Gneiss rich in Fe-Mg minerals,
Types of parent material,MM4,,MM4,Metamorphic limestone (marble),
Types of parent material,MM5,,MM5,Amphibolite,
Types of parent material,MM6,,MM6,Eclogite,
Types of parent material,MU,,MU,Ultramafic metamorphic,
Types of parent material,MU1,,MU1,"Serpentinite, greenstone",
Types of parent material,SC,,SC,Clastic sediments,
Types of parent material,SC1,,SC1,"Conglomerate, breccia",
Types of parent material,SC2,,SC2,"Sandstone, greywacke, arkose",
Types of parent material,SC3,,SC3,"Silt-, mud-, claystone",
Types of parent material,SC4,,SC4,Shale,
Types of parent material,SC5,,SC5,Ironstone,
Types of parent material,SE,,SE,Evaporites,
Types of parent material,SE1,,SE1,"Anhydrite, gypsum",
Types of parent material,SE2,,SE2,Halite,
Types of parent material,SO,,SO,"Carbonatic, organic",
Types of parent material,SO1,,SO1,"Limestone, other carbonate rock",
Types of parent material,SO2,,SO2,Marl and other mixtures,
Types of parent material,SO3,,SO3,"Coals, bitumen and related rocks",
Types of parent material,UA,,UA,Anthropogenic/ technogenic,
Types of parent material,UA1,,UA1,Redeposited natural material,
Types of parent material,UA2,,UA2,Industrial/artisanal deposits,
Types of parent material,UC,,UC,Colluvial,
Types of parent material,UC1,,UC1,Slope deposits,
Types of parent material,UC2,,UC2,Lahar,
Types of parent material,UC3,,UC3,Deposit of soil material,
Types of parent material,UE,,UE,Aeolian,
Types of parent material,UE1,,UE1,Loess,
Types of parent material,UE2,,UE2,Sand,
Types of parent material,UF,,UF,Fluvial,
Types of parent material,UF1,,UF1,Sand and gravel,
Types of parent material,UF2,,UF2,"Clay, silt and loam",
Types of parent material,UG,,UG,Glacial,
Types of parent material,UG1,,UG1,Moraine,
Types of parent material,UG2,,UG2,Glacio-fluvial sand,
Types of parent material,UG3,,UG3,Glacio-fluvial gravel,
Types of parent material,UK,,UK,Cryogenic,
Types of parent material,UK1,,UK1,Periglacial rock debris,
Types of parent material,UK2,,UK2,Periglacial solifluction layer,
Types of parent material,UL,,UL,Lacustrine,
Types of parent material,UL1,,UL1,Sand,
Types of parent material,UL2,,UL2,"Silt and clay, < 20% CaCO3 equivalent, little or no diatoms",
Types of parent material,UL3,,UL3,"Silt and clay, < 20% CaCO3 equivalent, many diatoms",
Types of parent material,UL4,,UL4,"Silt and clay, ≥ 20% CaCO3 equivalent (marl)",
Types of parent material,UM,,UM,"Marine, estuarine",
Types of parent material,UM1,,UM1,Sand,
Types of parent material,UM2,,UM2,Clay and silt,
Types of parent material,UO,,UO,Organic,
Types of parent material,UO1,,UO1,Rainwater-fed peat (bog),
Types of parent material,UO2,,UO2,Groundwater-fed peat (fen),
Types of parent material,UO3,,UO3,Lacustrine (organic limnic sediments),
Types of parent material,UR,,UR,Weathered residuum,
Types of parent material,UR1,,UR1,"Bauxite, laterite",
Types of parent material,UU,,UU,Unspecified deposits,
Types of parent material,UU1,,UU1,Clay,
Types of parent material,UU2,,UU2,Loam and silt,
Types of parent material,UU3,,UU3,Sand,
Types of parent material,UU4,,UU4,Gravelly sand,
Types of parent material,UU5,,UU5,"Gravel, broken rock",
Types of plasticity,MP,,MP,Moderately plastic,
Types of plasticity,NP,,NP,Non-plastic,
Types of plasticity,SP,,SP,Slightly plastic,
Types of plasticity,VP,,VP,Very plastic,
Types of secondary carbonates,AS,,AS,Coatings on soil aggregate surfaces or biopore walls,
Types of secondary carbonates,FI,,FI,Filaments (including continuous filaments like pseudomycelia),
Types of secondary carbonates,MA,,MA,Masses (including spheroidal aggregations like white eyes (byeloglaska)),
Types of secondary carbonates,NC,,NC,Nodules and/or concretions,
Types of secondary carbonates,NO,,NO,No secondary carbonates,
Types of secondary carbonates,UR,,UR,Coatings on undersides of coarse fragments and of remnants of broken-up cemented layers,
Types of secondary silica,CH,,CH,"Accumulations within a layer, cemented by secondary silica",
Types of secondary silica,DN,,DN,Nodules (durinodes),
Types of secondary silica,FC,,FC,Remnants of a layer that has been cemented by secondary silica,
Types of secondary silica,NO,,NO,No secondary silica,
Types of secondary silica,OT,,OT,Other accumulations,
"Types of structure, formation",BA,,BA,Angular blocky,"Soil aggregate structure, natural"
"Types of structure, formation",BS,,BS,Subangular blocky,"Soil aggregate structure, natural"
"Types of structure, formation",CL,,CL,Cloddy,Artificial structural elements
"Types of structure, formation",CO,,CO,Columnar,"Soil aggregate structure, natural"
"Types of structure, formation",FE,,FE,Flat-edged,"Soil aggregate structure, natural"
"Types of structure, formation",GR,,GR,Granular,"Soil aggregate structure, natural"
"Types of structure, formation",LC,,LC,Lenticular,"Soil aggregate structure, natural"
"Types of structure, formation",MR,,MR,Massive,"No structural units, rock structure, inherited from the parent material, structure not changing with soil moisture, not or only slightly chemically weathered"
"Types of structure, formation",MS,,MS,"No structural units, soil structure, present when moist and changing into soil aggregate structure when dry",
"Types of structure, formation",MW,,MW,"No structural units, rock structure, inherited from the parent material, structure not changing with soil moisture, strongly chemically weathered (e.g. saprolite)",
"Types of structure, formation",PH,,PH,Polyhedral,"Soil aggregate structure, natural"
"Types of structure, formation",PL,,PL,Platy,"Soil aggregate structure, natural or resulting from artificial pressure"
"Types of structure, formation",PR,,PR,Prismatic,"Soil aggregate structure, natural"
"Types of structure, formation",PS,,PS,Pseudosand/Pseudosilt,"Soil aggregate structure, natural"
"Types of structure, formation",SR,,SR,Single grain,"No structural units, rock structure, inherited from the parent material"
"Types of structure, formation",SS,,SS,"No structural units, soil structure, resulting from soil-forming processes, like loss of organic matter and/or oxides and/or clay minerals or loss of stratification",
"Types of structure, formation",ST,,ST,Stratified,"No structural units, rock structure, visible stratification from sedimentation"
"Types of structure, formation",WE,,WE,Wedge-shaped,"Soil aggregate structure, natural"
Vegetation type,AF,,AF,Algae: fresh or brackish,
Vegetation type,AH,,AH,Higher aquatic plants (woody or non-woody),
Vegetation type,AM,,AM,Algae: marine,
Vegetation type,CR,,CR,"Biological crust (of cyanobacteria, algae, fungi, lichens and/or mosses)",
Vegetation type,NF,,NF,Fungi,
Vegetation type,NG,,NG,Grasses and/or herbs,
Vegetation type,NL,,NL,Lichens,
Vegetation type,NM,,NM,Mosses (non-peat),
Vegetation type,NO,,NO,None (barren),
Vegetation type,NP,,NP,Peat,
Vegetation type,WE,,WE,Evergreen trees (mainly not planted),
Vegetation type,WG,,WG,Evergreen shrubs,
Vegetation type,WH,,WH,Heath or dwarf shrubs,
Vegetation type,WP,,WP,"Plantation forest, not in rotation with cropland or grassland",
Vegetation type,WR,,WR,"Plantation forest, in rotation with cropland or grassland",
Vegetation type,WS,,WS,Seasonally green shrubs,
Vegetation type,WT,,WT,Seasonally green trees (mainly not planted),
Water above the soil surface,FF,,FF,Submerged by remote flowing inland water at least once a year,
Water above the soil surface,FO,,FO,Submerged by remote flowing inland water less than once a year,
Water above the soil surface,FP,,FP,Permanently submerged by inland water,
Water above the soil surface,GF,,GF,Submerged by rising local groundwater at least once a year,
Water above the soil surface,GO,,GO,Submerged by rising local groundwater less than once a year,
Water above the soil surface,MO,,MO,Occasional storm surges (above mean high water springs),
Water above the soil surface,MP,,MP,Permanently submerged by seawater (below mean low water springs),
Water above the soil surface,MT,,MT,Tidal area (between mean low and mean high water springs),
Water above the soil surface,NO,,NO,None of the above,
Water above the soil surface,RF,,RF,Submerged by local rainwater at least once a year,
Water above the soil surface,RO,,RO,Submerged by local rainwater less than once a year,
Water above the soil surface,UF,,UF,Submerged by inland water of unknown origin at least once a year,
Water above the soil surface,UO,,UO,Submerged by inland water of unknown origin less than once a year,
Water repellence,N,,N,Water infiltrates completely within < 60 seconds,
Water repellence,R,,R,Water stands for ≥ 60 seconds,
Water saturation,GF,,GF,Saturated by groundwater or flowing water for ≥ 30 consecutive days with water that has an electrical conductivity of < 4 dS m-1,
Water saturation,GS,,GS,Saturated by groundwater or flowing water for ≥ 30 consecutive days with water that has an electrical conductivity of ≥ 4 dS m-1,
Water saturation,MI,,MI,Saturated by water from melted ice for ≥ 30 consecutive days,
Water saturation,MS,,MS,Saturated by seawater for ≥ 30 consecutive days,
Water saturation,MT,,MT,Saturated by seawater according to tidal changes,
Water saturation,N,,N,None of the above,
Water saturation,PW,,PW,"Pure water, covered by floating organic material",
Water saturation,RA,,RA,Saturated by rainwater for ≥ 30 consecutive days,
Weathering stage of coarse fragments,F,,F,Fresh,
Weathering stage of coarse fragments,M,,M,Moderately weathered,
Weathering stage of coarse fragments,S,,S,Strongly weathered,
Wind deposition,CB,,CB,Aeroturbation (cross-bedding),
Wind deposition,NO,,NO,No evidence of wind deposition,
Wind deposition,OT,,OT,Other,
Wind deposition,RC,,RC,"≥ 10% of the particles of medium sand or coarser are rounded or subangular and have a matt surface, but only in in-blown material that has filled cracks",
Wind deposition,RH,,RH,≥ 10% of the particles of medium sand or coarser are rounded or subangular and have a matt surface,
